               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  63,            0.026063,            0.013186,            0.022586,             0.50422,             0.77281,             0.61591,             0.54162,            0.017309,           0.0050994,            0.018382,            0.007954,            0.007954,            0.007954
                  64,            0.026582,            0.013309,             0.02402,             0.50503,             0.77125,             0.61602,             0.54232,            0.017278,           0.0050984,            0.018374,            0.007921,            0.007921,            0.007921
                  65,            0.026106,            0.013438,            0.022655,             0.50607,              0.7668,             0.61623,             0.54227,            0.017255,           0.0050956,            0.018356,            0.007888,            0.007888,            0.007888
                  66,            0.025625,            0.013263,            0.023511,             0.50598,             0.76749,             0.61637,             0.54265,            0.017216,           0.0050935,            0.018337,            0.007855,            0.007855,            0.007855
                  67,            0.025994,            0.013029,            0.022777,             0.50488,             0.77076,             0.61706,             0.54278,            0.017186,           0.0050898,            0.018325,            0.007822,            0.007822,            0.007822
                  68,            0.025375,            0.013388,            0.023079,             0.50517,             0.76912,             0.61722,             0.54302,            0.017149,           0.0050871,            0.018316,            0.007789,            0.007789,            0.007789
                  69,            0.026168,            0.013203,             0.02345,             0.50663,              0.7649,             0.61715,             0.54269,            0.017122,           0.0050834,            0.018297,            0.007756,            0.007756,            0.007756
                  70,            0.025525,            0.013051,            0.022508,             0.50556,              0.7637,             0.61788,             0.54346,            0.017111,           0.0050817,            0.018294,            0.007723,            0.007723,            0.007723
                  71,            0.025333,            0.012941,            0.023094,             0.50696,             0.75996,             0.61834,             0.54356,            0.017088,           0.0050774,            0.018271,             0.00769,             0.00769,             0.00769
                  72,            0.026756,            0.013175,            0.022699,              0.5077,             0.76035,               0.619,             0.54431,            0.017083,           0.0050748,            0.018249,            0.007657,            0.007657,            0.007657
                  73,            0.026007,            0.012919,            0.022935,             0.50777,             0.75846,             0.61909,             0.54469,            0.017054,           0.0050708,            0.018216,            0.007624,            0.007624,            0.007624
                  74,            0.026246,            0.013033,            0.023027,             0.50723,             0.75931,             0.61934,             0.54509,            0.017031,           0.0050675,            0.018194,            0.007591,            0.007591,            0.007591
                  75,            0.025855,            0.013071,            0.022245,             0.50759,             0.76131,             0.61971,               0.546,            0.017018,           0.0050641,            0.018157,            0.007558,            0.007558,            0.007558
                  76,            0.024728,            0.012956,            0.021969,             0.50816,             0.75851,             0.62021,             0.54663,            0.017009,           0.0050619,            0.018116,            0.007525,            0.007525,            0.007525
                  77,            0.025801,             0.01287,            0.022327,             0.50926,             0.75636,             0.62057,             0.54685,            0.017013,           0.0050603,            0.018094,            0.007492,            0.007492,            0.007492
                  78,            0.026745,            0.013155,            0.023871,             0.50995,             0.75754,             0.62102,             0.54739,               0.017,           0.0050574,            0.018075,            0.007459,            0.007459,            0.007459
                  79,            0.025491,            0.012874,            0.023269,             0.51187,             0.75702,             0.62134,             0.54778,            0.016967,           0.0050547,            0.018051,            0.007426,            0.007426,            0.007426
                  80,            0.025124,            0.012896,            0.023525,             0.51116,             0.75669,             0.62151,             0.54775,            0.016942,           0.0050523,            0.018034,            0.007393,            0.007393,            0.007393
                  81,            0.025389,             0.01311,            0.022244,             0.51073,             0.75481,             0.62143,             0.54788,             0.01693,           0.0050503,            0.018006,             0.00736,             0.00736,             0.00736
                  82,            0.025405,            0.012968,            0.022792,             0.51068,              0.7548,             0.62224,             0.54856,            0.016915,           0.0050469,            0.017979,            0.007327,            0.007327,            0.007327
                  83,            0.025071,             0.01294,            0.023349,             0.50971,             0.75338,             0.62248,              0.5486,            0.016892,           0.0050422,            0.017966,            0.007294,            0.007294,            0.007294
                  84,            0.023891,            0.012997,             0.02201,             0.51072,             0.75142,             0.62288,             0.54914,            0.016866,           0.0050385,            0.017947,            0.007261,            0.007261,            0.007261
                  85,            0.026279,            0.013113,            0.023209,             0.51141,             0.75031,             0.62293,             0.54927,            0.016831,           0.0050339,            0.017916,            0.007228,            0.007228,            0.007228
                  86,            0.025325,            0.013334,              0.0228,             0.51357,             0.74525,             0.62293,             0.54968,             0.01681,           0.0050293,            0.017886,            0.007195,            0.007195,            0.007195
                  87,            0.023638,            0.012984,             0.02243,             0.51366,             0.74608,             0.62348,             0.55056,            0.016781,           0.0050251,            0.017874,            0.007162,            0.007162,            0.007162
                  88,            0.024536,            0.012923,            0.021902,             0.51362,             0.74498,               0.624,             0.55079,            0.016746,           0.0050211,            0.017847,            0.007129,            0.007129,            0.007129
                  89,            0.024198,            0.012814,            0.021937,              0.5145,             0.74266,             0.62426,             0.55081,            0.016719,           0.0050167,            0.017823,            0.007096,            0.007096,            0.007096
                  90,             0.02499,            0.012717,            0.022127,             0.51413,             0.74151,             0.62465,             0.55132,            0.016689,           0.0050109,            0.017798,            0.007063,            0.007063,            0.007063
                  91,            0.025109,            0.013114,            0.022558,             0.51456,               0.742,             0.62467,             0.55178,            0.016656,           0.0050076,            0.017773,             0.00703,             0.00703,             0.00703
                  92,            0.024602,            0.012896,            0.022446,             0.51363,             0.74832,             0.62493,             0.55209,            0.016632,           0.0050041,            0.017753,            0.006997,            0.006997,            0.006997
                  93,            0.025329,            0.012947,            0.021581,             0.51505,             0.74775,             0.62534,             0.55273,            0.016598,           0.0050007,            0.017717,            0.006964,            0.006964,            0.006964
                  94,            0.025014,            0.012828,            0.022362,             0.51431,             0.74957,              0.6254,             0.55312,            0.016555,           0.0049973,            0.017689,            0.006931,            0.006931,            0.006931
                  95,            0.025309,            0.013088,            0.022872,             0.51497,             0.74865,             0.62619,              0.5531,            0.016532,           0.0049949,            0.017668,            0.006898,            0.006898,            0.006898
                  96,            0.025206,            0.012823,            0.022737,              0.5151,             0.75245,             0.62606,             0.55342,            0.016506,            0.004992,             0.01764,            0.006865,            0.006865,            0.006865
                  97,            0.024348,            0.012812,            0.021825,             0.51467,             0.75286,             0.62649,             0.55401,            0.016473,           0.0049889,            0.017633,            0.006832,            0.006832,            0.006832
                  98,            0.024735,            0.012995,            0.023124,             0.51428,             0.75792,             0.62671,             0.55445,            0.016436,           0.0049853,            0.017611,            0.006799,            0.006799,            0.006799
                  99,            0.025158,            0.012697,            0.021694,             0.51581,             0.75711,             0.62725,             0.55463,            0.016394,           0.0049811,            0.017581,            0.006766,            0.006766,            0.006766
                 100,            0.025298,            0.012857,            0.022939,              0.5157,             0.75626,             0.62712,              0.5547,            0.016367,           0.0049747,            0.017557,            0.006733,            0.006733,            0.006733
